0.049732	0.003122	0.002866	0.026897	
0.047129	0.001914	0.001899	0.026896	
0.044229	0.001418	0.001302	0.026820	
0.044947	0.001396	0.001010	0.026943	
0.044156	0.001339	0.000875	0.026932	
0.044161	0.001340	0.000802	0.026937	
0.094279	0.006259	0.005652	0.053838	
0.091322	0.003857	0.003786	0.053878	
0.089092	0.002878	0.002560	0.053591	
0.089174	0.002864	0.001993	0.053874	
0.088734	0.002813	0.001750	0.053738	
0.090568	0.002813	0.001551	0.053874	
0.189502	0.012537	0.011267	0.107708	
0.189723	0.007725	0.007552	0.107654	
0.188756	0.005852	0.005139	0.107429	
0.189530	0.006271	0.004223	0.107729	
0.188853	0.006061	0.003468	0.107687	
0.189771	0.005567	0.003033	0.107723	
0.380512	0.025476	0.022580	0.215401	
0.379970	0.015494	0.015161	0.215508	
0.377843	0.011749	0.010173	0.215429	
0.380434	0.011667	0.007906	0.215398	
0.380858	0.011492	0.006906	0.215184	
0.378808	0.011762	0.006300	0.215299	
0.758441	0.050472	0.046091	0.430645	
0.757649	0.030828	0.030586	0.430699	
0.759639	0.024655	0.020348	0.430838	
0.758690	0.023390	0.015828	0.430893	
0.758262	0.023047	0.013615	0.430748	
0.758187	0.022621	0.011964	0.430799	
1.515428	0.100570	0.090669	0.861411	
1.515370	0.061938	0.060425	0.861493	
1.530996	0.047893	0.040640	0.861480	
1.515865	0.046982	0.031600	0.861513	
1.513745	0.046813	0.027691	0.861407	
5.603778	0.045798	0.023960	0.861502	
3.046033	0.202486	0.181214	1.724874	
3.028289	0.123625	0.121299	1.723539	
3.031692	0.095321	0.081927	1.722545	
3.043218	0.094351	0.063885	1.723120	
3.041157	0.092964	0.054400	1.724478	
3.035136	0.090593	0.047948	1.723395	
6.066551	0.404259	0.366041	3.446834	
6.083539	0.247382	0.247541	3.448141	
6.086682	0.190488	0.167284	3.446343	
6.070416	0.188524	0.126982	3.447215	
6.067192	0.184515	0.109468	3.448099	
6.077735	0.180649	0.096454	3.445307	
